,#,News Org,Created,Positive,Neutral,Negative,Compound,Tweet
13,13,@BBC,Thu Mar 08 13:02:03 +0000 2018,0.0,0.855,0.145,-0.5994,"RT @bbc5live: “That was the end of my childhood”

Money saving expert @MartinSLewis opens up to @tonylivesey about the death of his mum, th…"
14,14,@BBC,Thu Mar 08 13:00:08 +0000 2018,0.0,1.0,0.0,0.0,🎤 🎧Grime through time: A brief history of one of the biggest music genres to come out of the UK https://t.co/876CsOCFsa
15,15,@BBC,Thu Mar 08 12:34:42 +0000 2018,0.0,1.0,0.0,0.0,"RT @BBCRadio4: Ten female authors who changed sci-fi: https://t.co/r5s1mqYrQD
#IWD2018 https://t.co/cQxHsT9c3E"
16,16,@BBC,Thu Mar 08 12:30:04 +0000 2018,0.0,1.0,0.0,0.0,"Thousands of women in the UK can't afford to buy tampons and towels. 

#InternationalWomensDay #IWD2018 https://t.co/66P7IrZ9lB"
17,17,@BBC,Thu Mar 08 12:00:02 +0000 2018,0.205,0.795,0.0,0.4753,"👷👷‍♀️ Building future engineers - it's a lot easier than you think! 

#BitzAndBob | @CbeebiesHQ https://t.co/YV3kTIj0Dx"
18,18,@BBC,Thu Mar 08 11:46:51 +0000 2018,0.211,0.789,0.0,0.5859,"RT @BBCR1: 💛💛💛 

Who's ready for @thegreatkhalid in the Live Lounge?

Make sure you're listening to @claraamfo at 12pm 👉 https://t.co/48Ruy…"
19,19,@BBC,Thu Mar 08 11:00:05 +0000 2018,0.0,1.0,0.0,0.0,"Life advice from one of our all-time favourite women, @DawnFrenchUK.  

#InternationalWomensDay #IWD2018 https://t.co/MAOUgpWb7J"
20,20,@BBC,Thu Mar 08 10:54:28 +0000 2018,0.279,0.721,0.0,0.6996,RT @bbcthree: Happy International Women’s Day! Here's @StaceyDooley with some top tips for aspiring broadcasters #IWD2018 https://t.co/Rbq7…
21,21,@BBC,Thu Mar 08 10:32:59 +0000 2018,0.0,1.0,0.0,0.0,RT @bbcarts: Clay artist @_PhoebeCummings launches her new incredible new work on #InternationalWomensDay. Audiences can watch as the sculp…
22,22,@BBC,Thu Mar 08 09:57:10 +0000 2018,0.171,0.829,0.0,0.5719,"RT @BBCRadio4: Who are the women that inspire you the most?
From Dawn_French to @Leomie_Anderson, @ScarlettMoffatt to @saoirse_ronan, women…"
