,#,News Org,Created,Positive,Neutral,Negative,Compound,Tweet
127,27,@CBS,Mon Feb 26 18:20:16 +0000 2018,0.429,0.571,0.0,0.9359,RT @TheTalkCBS: TODAY: We loved them together then &amp; we love seeing them together now! Welcome back to the show @THESaraGilbert​'s good fri…
128,28,@CBS,Mon Feb 26 16:53:56 +0000 2018,0.0,0.816,0.184,-0.5423,"RT @thegoodfight: As foundations begin to crumble, our characters struggle to make sense of this new dystopian world. The cast teases what'…"
129,29,@CBS,Mon Feb 26 16:52:01 +0000 2018,0.0,1.0,0.0,0.0,"#LivingBiblically's @linzkraft and @jrfergjr appeared on @KCBS's Facebook Live this morning, talking all about what… https://t.co/4RebcHuuMQ"
130,30,@CBS,Mon Feb 26 16:17:55 +0000 2018,0.0,1.0,0.0,0.0,"RT @CBSSports: Introducing CBS Sports HQ, a New 24/7 Direct-to-Consumer Streaming Network for Sports News, Highlights, &amp; Analysis.

Stream…"
131,31,@CBS,Mon Feb 26 01:12:32 +0000 2018,0.231,0.769,0.0,0.7644,"RT @CBSBigBrother: It’s down to the final 5 celebrity Houseguests, and anyone could take home the grand prize! Tune in NOW to watch the #BB…"
132,32,@CBS,Sun Feb 25 21:51:32 +0000 2018,0.0,1.0,0.0,0.0,RT @startrekcbs: Binge the entire first season of #StarTrekDiscovery. All episodes now streaming exclusively on CBS All Access: https://t.c…
133,33,@CBS,Sun Feb 25 21:51:22 +0000 2018,0.0,1.0,0.0,0.0,"RT @thegoodfight: #TheGoodFight returns in 1 week. Season 2 premieres Sunday, March 4. https://t.co/nomCao1GWp https://t.co/BOn6bOe9Tb"
134,34,@CBS,Fri Feb 23 18:15:40 +0000 2018,0.155,0.845,0.0,0.5093,RT @thegoodfight: This is our new favorite thing. Christine Baranski debuted #TheGoodFight the Musical on @colbertlateshow last night! 🎵🎤…
135,35,@CBS,Thu Feb 22 19:26:52 +0000 2018,0.0,1.0,0.0,0.0,"RT @LivinBiblically: Confession time: have YOU ever hit the ""close door"" button in an elevator while somebody was approaching? The cast of…"
136,36,@CBS,Wed Feb 21 19:20:04 +0000 2018,0.0,1.0,0.0,0.0,RT @CBSEyeSpeak: Mark your calendars! #CBSEyeSpeak kicks off March 14 with The EYE Speak Summit. Follow our page for more details! https://…
137,37,@CBS,Wed Feb 21 18:19:25 +0000 2018,0.248,0.752,0.0,0.6808,"RT @CBSEyeSpeak: Proud to announce a new CBS initiative, promoting female empowerment and developing the next generation of leaders through…"
138,38,@CBS,Tue Feb 20 19:55:19 +0000 2018,0.116,0.884,0.0,0.4404,"RT @LivinBiblically: When you're living by the Bible, it's good to have a priest and a rabbi on call (provided they answer their phones, th…"
139,39,@CBS,Tue Feb 20 17:58:18 +0000 2018,0.0,0.881,0.119,-0.4019,"RT @thegoodfight: Chicago lawyers are being hunted and the world is going insane. 

The new season of #TheGoodFight premieres Sunday, March…"
140,40,@CBS,Tue Feb 20 17:39:51 +0000 2018,0.128,0.872,0.0,0.3612,Ready for some larger than life competition? This new series from @MarkBurnettTV will premiere in summer 2018.… https://t.co/gDXHLdIJ5v
141,41,@CBS,Sat Feb 17 01:07:20 +0000 2018,0.227,0.773,0.0,0.6124,"With tournament dreams on the line, make sure to stream these college basketball matchups on CBS All Access:… https://t.co/SGkYUZrQWB"
142,42,@CBS,Fri Feb 16 18:42:43 +0000 2018,0.108,0.892,0.0,0.3182,"RT @LivinBiblically: While Chip's sticking to the Bible's original rules, the cast of #LivingBiblically has given them a more modern makeov…"
143,43,@CBS,Fri Feb 16 17:48:20 +0000 2018,0.248,0.752,0.0,0.68,"Casting News! Peter Mark Kendall, Michael Gaston, Greg Wise, Rade Šerbedžija, Zack Pearlman, and Keye Chen join the… https://t.co/GFob2KrD8H"
144,44,@CBS,Wed Feb 14 19:23:27 +0000 2018,0.466,0.534,0.0,0.8619,RT @BullCBS: The verdict is in...#Bull is the perfect Valentine! ❤️ Happy #ValentinesDay! https://t.co/poEejI4AnC
145,45,@CBS,Tue Feb 13 20:03:56 +0000 2018,0.0,1.0,0.0,0.0,"RT @NoActivityCBS: Car 27 reporting: Season 2 of #NoActivity coming soon!

Binge season one now on CBS All Access: https://t.co/yvxoQMeyhN…"
146,46,@CBS,Tue Feb 13 18:54:52 +0000 2018,0.252,0.748,0.0,0.7506,"RT @LivinBiblically: Against all odds (and the advice of his God Squad), Chip is determined to live life by the Good Book. Think you could…"
147,47,@CBS,Mon Feb 12 18:49:45 +0000 2018,0.0,1.0,0.0,0.0,RT @thegoodfight: Christine Baranski reflects upon the spectacular metamorphosis of her character in #TheGoodFight's first season. Revisit…
148,48,@CBS,Mon Feb 12 01:32:33 +0000 2018,0.0,1.0,0.0,0.0,RT @startrekcbs: Binge the entire first season of #StarTrekDiscovery. All 15 episodes now streaming on CBS All Access: https://t.co/lKLaptP…
149,49,@CBS,Fri Feb 09 00:50:01 +0000 2018,0.304,0.696,0.0,0.8478,RT @SuperiorDonuts: Looking for a #Valentine? Tush is here to help you land your dream date just in time for the day of love! #SuperiorDonu…
150,50,@CBS,Thu Feb 08 16:09:35 +0000 2018,0.0,0.814,0.186,-0.5859,RT @CBSBigBrother: The pressure is on as the Houseguests battle each other for victory in the first HOH competition. Stream the season prem…
151,51,@CBS,Wed Feb 07 18:35:19 +0000 2018,0.066,0.934,0.0,0.0516,"RT @startrekcbs: Sunday, this season's epic journey reaches its final reckoning. Catch up before the season finale: https://t.co/4Ea5wpmAep…"
152,52,@CBS,Wed Feb 07 16:17:48 +0000 2018,0.312,0.536,0.152,0.5574,"Are you a sucker for jaw-dropping talent competitions? Announcing The World's Best, a first-of-its-kind new global… https://t.co/fagCMklm2Z"
153,53,@CBS,Tue Feb 06 22:21:39 +0000 2018,0.0,1.0,0.0,0.0,"RT @BullCBS: Tonight, one of these 3 TAC employees will end up incarcerated. Who do you think it will be? Tune into a new episode of #Bull…"
154,54,@CBS,Tue Feb 06 17:05:49 +0000 2018,0.121,0.773,0.106,0.0772,"RT @thegoodfight: There's no season like lawyer season. #TheGoodFight returns March 4, exclusively on CBS All Access. https://t.co/XAlrg1nB…"
155,55,@CBS,Sun Feb 04 15:35:36 +0000 2018,0.0,1.0,0.0,0.0,"RT @thegoodfight: The acclaimed series returns in 1 month. #TheGoodFight is back Sunday, March 4. https://t.co/5BNLTYRd8p https://t.co/yInP…"
156,56,@CBS,Sun Feb 04 12:00:01 +0000 2018,0.118,0.882,0.0,0.1531,".@KeshaRose's emotional performance with @CyndiLauper, @AndraDayMusic, @BebeRexha and @Camila_Cabello brought the a… https://t.co/qpgS2e9ir0"
157,57,@CBS,Sat Feb 03 23:11:43 +0000 2018,0.0,1.0,0.0,0.0,Broadway legend Patti LuPone paid tribute to Sir Andrew Lloyd Webber with a show-stopping rendition of the iconic s… https://t.co/GxqLtUzhFP
158,58,@CBS,Sat Feb 03 12:00:07 +0000 2018,0.338,0.662,0.0,0.8268,"Relive an entire night's worth of big wins, live performances and many more inspiring moments from The 60th Annual… https://t.co/CH7mJ4Y3QT"
159,59,@CBS,Fri Feb 02 22:36:13 +0000 2018,0.0,0.925,0.075,-0.0772,RT @swatcbs: ✨@TheTalkCBS' @TheRealEve and @ShemarMoore brought some serious heat to the GRAMMYs red carpet: https://t.co/WYTITKkLQd https:…
160,60,@CBS,Fri Feb 02 20:07:40 +0000 2018,0.144,0.856,0.0,0.4019,"The all-star collaboration between @Rihanna, @DJKhaled and @brysontiller brought the party to the #GRAMMYs with a s… https://t.co/jTv5QbtgUp"
161,61,@CBS,Fri Feb 02 19:03:33 +0000 2018,0.124,0.876,0.0,0.4003,RT @TheTalkCBS: All the #redcarpet looks from the 60th annual #GRAMMYs! Did you catch @TheRealEve's sparkly two-piece suit? Diamond accents…
162,62,@CBS,Fri Feb 02 17:23:18 +0000 2018,0.166,0.834,0.0,0.6114,Go backstage with the celebs and see which stars celebrated the big night together! Here are the moments you missed… https://t.co/rgQTXRQyLg
163,63,@CBS,Thu Feb 01 22:04:41 +0000 2018,0.0,1.0,0.0,0.0,🎶 @DearEvanHansen star Ben Platt gave a soaring performance of a classic Broadway hit. Watch him perform 'Somewhere… https://t.co/HcuizFWo02
164,64,@CBS,Thu Feb 01 20:09:49 +0000 2018,0.0,1.0,0.0,0.0,"🎸 @LittleBigTown, @U2, @BrunoMars and @Pink are just a few of the superstar performers that lit up the stage at The… https://t.co/2v0MNYMItG"
165,65,@CBS,Wed Jan 31 21:42:15 +0000 2018,0.088,0.912,0.0,0.1139,"Don't miss country stars Emmylou Harris and @ChrisStapleton perform a moving rendition of @TomPetty's classic song,… https://t.co/GxoIW97XIu"
166,66,@CBS,Wed Jan 31 17:05:47 +0000 2018,0.135,0.75,0.115,0.1007,RT @survivorcbs: Get excited! 🙌 It’s finally time to meet the castaways of #Survivor: Ghost Island ☠ https://t.co/xQQ8ROhKbM https://t.co/P…
167,67,@CBS,Wed Jan 31 16:37:17 +0000 2018,0.188,0.812,0.0,0.4588,"Country stars @EricChurch, @BrothersOsborne and @MarenMorris performed a touching tribute dedicated to the victims… https://t.co/YCIq9i70fd"
168,68,@CBS,Wed Jan 31 06:55:30 +0000 2018,0.126,0.779,0.095,0.1779,Missed the Man vs. Beast #SuperBowlCommercials showdown? Catch up now to find out which entertaining ad was named t… https://t.co/SlyO0n7yMX
169,69,@CBS,Wed Jan 31 02:15:16 +0000 2018,0.179,0.569,0.252,-0.2263,"RT @rikimae: Ok, that one makes me cry #superbowlcommercials"
170,70,@CBS,Wed Jan 31 01:58:40 +0000 2018,0.0,0.744,0.256,-0.4767,"If this doesn’t make you cry, nothing will. #SuperBowlCommercials https://t.co/UjFf3xr4so"
171,71,@CBS,Wed Jan 31 01:52:46 +0000 2018,0.256,0.625,0.119,0.4939,"RT @maverickkr: #superbowlcommercials the frogs were great, I'd forgotten about that one."
172,72,@CBS,Wed Jan 31 01:49:43 +0000 2018,0.19,0.81,0.0,0.5093,"If you haven't voted yet, it's not too late! Choose your favorite here: https://t.co/s4pEIF5IX8… https://t.co/VCa1YHDyYy"
173,73,@CBS,Wed Jan 31 01:31:27 +0000 2018,0.434,0.566,0.0,0.8261,RT @5691e44f3b66446: I am having so much fun ...the commercials are awesome #superbowlcommercials
174,74,@CBS,Wed Jan 31 01:29:10 +0000 2018,0.414,0.586,0.0,0.8309,RT @LittleShelbyMae: Love watching the #superbowlcommercials all the animal ones are my favorite!!
175,75,@CBS,Wed Jan 31 01:24:16 +0000 2018,0.386,0.614,0.0,0.6588,RT @PatHale915: Doritos time machine was great!   #superbowlcommercials
176,76,@CBS,Wed Jan 31 01:18:37 +0000 2018,0.0,0.602,0.398,-0.5106,Never make a goat angry. #SuperBowlCommercials https://t.co/xRJssdAErk
177,77,@CBS,Wed Jan 31 01:17:37 +0000 2018,0.0,1.0,0.0,0.0,RT @MsLindsieStarr: That dang goat! #Doritos #superbowlcommercials
178,78,@CBS,Wed Jan 31 01:16:15 +0000 2018,0.349,0.651,0.0,0.7525,Do you remember this Super Bowl commercial featuring @KevinHart4real playing an overprotective father?… https://t.co/ejLnTEG5ug
179,79,@CBS,Wed Jan 31 01:08:01 +0000 2018,0.0,1.0,0.0,0.0,RT @dRoy: Homework will take a break for now. #superbowlcommercials on cbs is on 👌
180,80,@CBS,Wed Jan 31 01:04:34 +0000 2018,0.58,0.42,0.0,0.8516,RT @Mixxxalv: Watching #superbowlcommercials let the best win!
181,81,@CBS,Wed Jan 31 01:00:35 +0000 2018,0.351,0.649,0.0,0.8442,Super Bowl Greatest Commercials 2018 hosts @7BOOMERESIASON and @DanielaRuah are moments away from announcing the tw… https://t.co/cKM1WXPc9u
182,82,@CBS,Wed Jan 31 00:55:04 +0000 2018,0.406,0.594,0.0,0.923,It's Man vs. Beast as these classic Super Bowl spots face off tonight on Super Bowl Greatest Commercials 2018! Tune… https://t.co/GcoSAcfeUd
183,83,@CBS,Wed Jan 31 00:37:20 +0000 2018,0.206,0.794,0.0,0.5994,"Tonight, get a first look at #ChrisElliott starring in the new @AvosfromMexico Super Bowl Commercial on… https://t.co/WMEjsZfgdg"
184,84,@CBS,Wed Jan 31 00:11:53 +0000 2018,0.407,0.593,0.0,0.8834,"Join @NCISLA's @DanielaRuah and @7BOOMERESIASON on Super Bowl Greatest Commercials 2018, tonight at 8/7c on CBS and… https://t.co/nzVu1FCRc5"
185,85,@CBS,Tue Jan 30 23:35:01 +0000 2018,0.276,0.724,0.0,0.8553,Everyone knows the best part of the Super Bowl is the commercials! Find out how to tune in and vote for your favori… https://t.co/KGDYl9oF98
186,86,@CBS,Tue Jan 30 21:19:22 +0000 2018,0.306,0.694,0.0,0.8553,Throw it back to this classic Michael Jordan vs. Larry Bird spot tonight on Super Bowl Greatest Commercials 2018! W… https://t.co/g2H4zV7wIN
187,87,@CBS,Tue Jan 30 18:46:04 +0000 2018,0.391,0.609,0.0,0.9215,"Super Bowl Greatest Commercials 2018 airs tonight! Cast your vote now, then tune in and vote for the winner live at… https://t.co/h4jGpUheP5"
188,88,@CBS,Tue Jan 30 16:00:02 +0000 2018,0.0,1.0,0.0,0.0,Remember when @robinthicke and Lil Wayne (@liltunechi) joined jazz legends on stage at the 51st #GRAMMYs? Watch thi… https://t.co/2l8gBdOrli
189,89,@CBS,Tue Jan 30 04:03:31 +0000 2018,0.187,0.813,0.0,0.5994,"Tomorrow, catch a sneak peek of the incredible @TiffanyHaddish in her first Super Bowl Commercial for @Groupon on… https://t.co/RlehujNvFN"
190,90,@CBS,Tue Jan 30 03:17:51 +0000 2018,0.289,0.711,0.0,0.6908,Rapper @Logic301 delivered a poignant message of hope to conclude his powerful performance with @alessiacara and… https://t.co/elSqZExRtN
191,91,@CBS,Tue Jan 30 02:12:15 +0000 2018,0.0,1.0,0.0,0.0,Even our host @JKCorden was starstruck when Broadway icon Patti LuPone performed at The #GRAMMYs! https://t.co/YJhNBllFh6
192,92,@CBS,Tue Jan 30 01:29:06 +0000 2018,0.0,0.885,0.115,-0.296,Childish Gambino serenaded the crowd with his smooth vocals in this mesmerizing performance. Watch him perform 'Ter… https://t.co/TkWZP7PS22
193,93,@CBS,Tue Jan 30 00:11:05 +0000 2018,0.0,1.0,0.0,0.0,.@OfficialSting and @shaggy757 joined together to bring their upbeat reggae vibes to Madison Square Garden. Watch t… https://t.co/iqq0DbM1IR
194,94,@CBS,Mon Jan 29 22:45:21 +0000 2018,0.115,0.885,0.0,0.3818,Superstar @Pink left it all on the stage last night in a simply stunning performance that brought the crowd to thei… https://t.co/B9Tj5INcNu
195,95,@CBS,Mon Jan 29 22:10:15 +0000 2018,0.162,0.758,0.079,0.5093,Check out these photos of the night's best backstage moments you didn't see on TV! Here's what you missed at The 60… https://t.co/6TBI8NV8JJ
196,96,@CBS,Mon Jan 29 20:00:04 +0000 2018,0.0,1.0,0.0,0.0,The dapper duo of @itstonybennett and @johnlegend brought down the #GRAMMYs house with an impromptu duet.… https://t.co/ucRrAFk59f
197,97,@CBS,Mon Jan 29 19:00:05 +0000 2018,0.286,0.714,0.0,0.7783,🎶@BrunoMars worked his 24K Magic to become the night's biggest winner. See his #GRAMMYs acceptance speech for Album… https://t.co/dXzjWH0myx
198,98,@CBS,Mon Jan 29 18:00:02 +0000 2018,0.442,0.558,0.0,0.9259,When your win at The #GRAMMYs feels like 24K Magic! Congratulations to @BrunoMars for taking home six awards this y… https://t.co/UhWCE8OKfK
199,99,@CBS,Mon Jan 29 17:15:04 +0000 2018,0.0,1.0,0.0,0.0,✨@LadyGaga's stripped-down performance soared on the #GRAMMYs stage. See all the night's performances here:… https://t.co/Dw6xSzeeGC
200,0,@CNN,Thu Mar 08 20:50:56 +0000 2018,0.124,0.876,0.0,0.34,"President Trump: ""Today I'm defending America's national security by placing tariffs on foreign imports of steel an… https://t.co/XH22ESdPSU"
201,1,@CNN,Thu Mar 08 20:38:12 +0000 2018,0.0,0.879,0.121,-0.296,President Trump is about to impose new tariffs on steel and aluminum imports. Follow live updates:… https://t.co/o4VDiUWujN
202,2,@CNN,Thu Mar 08 20:25:13 +0000 2018,0.0,1.0,0.0,0.0,The Cranberries will be releasing a final album made with Dolores O'Riordan https://t.co/z8rKgNyCmy https://t.co/tPkkmZplLe
203,3,@CNN,Thu Mar 08 20:20:38 +0000 2018,0.0,1.0,0.0,0.0,"Russians released an anti-Clinton video game called ""Hilltendo"" weeks before the 2016 US presidential election. It… https://t.co/tTFHTqxF42"
204,4,@CNN,Thu Mar 08 20:03:33 +0000 2018,0.16,0.694,0.146,-0.1665,Former Trump campaign chairman Paul Manafort has entered a plea of not guilty to charges of bank fraud and tax crim… https://t.co/myDFUQIvIw
205,5,@CNN,Thu Mar 08 20:01:36 +0000 2018,0.0,1.0,0.0,0.0,Bernie Sanders is spending a lot of time in Trump country. Here's why. | Analysis by CNN's Gregory Krieg and Sam Pe… https://t.co/GFkPrBfWvm
206,6,@CNN,Thu Mar 08 19:53:17 +0000 2018,0.0,0.844,0.156,-0.5423,"A salmonella outbreak linked to chicken salad has sickened another 105 people, bringing the total to 170 in seven s… https://t.co/SWH9Q0tsYr"
207,7,@CNN,Thu Mar 08 19:42:07 +0000 2018,0.0,0.608,0.392,-0.7964,"In a trade war over steel, US farmers could be collateral damage https://t.co/tChleqd7qi https://t.co/EotEUo9LN1"
208,8,@CNN,Thu Mar 08 19:37:55 +0000 2018,0.1,0.9,0.0,0.25,"Russian internet trolls created an anti-Hillary Clinton video game called ""Hilltendo"" and tried to make it go viral… https://t.co/De3h9kjvKx"
209,9,@CNN,Thu Mar 08 19:31:33 +0000 2018,0.0,1.0,0.0,0.0,Bones found on a remote Pacific island almost eight decades ago likely are those of pioneering pilot Amelia Earhart… https://t.co/Ae3YEwSVSJ
210,10,@CNN,Thu Mar 08 19:28:27 +0000 2018,0.0,0.879,0.121,-0.296,"Volkswagen says it will stop using coal to power its main factory in Wolfsburg, Germany https://t.co/yxE1eIG6oG https://t.co/w2sugdXQz8"
211,11,@CNN,Thu Mar 08 19:20:03 +0000 2018,0.0,0.758,0.242,-0.5859,"In his fight with North Korea, Trump may end up with no allies | @NicRobertsonCNN for @CNNopinion… https://t.co/MF5muUcnk0"
212,12,@CNN,Thu Mar 08 19:10:07 +0000 2018,0.0,1.0,0.0,0.0,Trump wants you to think about video games instead of guns | Analysis by @zbyronwolf @zbyronwolf … https://t.co/5uutuvLV6i
213,13,@CNN,Thu Mar 08 19:00:13 +0000 2018,0.0,1.0,0.0,0.0,9 things you need to believe if you believe the White House on Stormy Daniels | Analysis by @CillizzaCNN… https://t.co/zwvP0mf89V
214,14,@CNN,Thu Mar 08 18:50:00 +0000 2018,0.0,0.894,0.106,-0.3612,"Sen. Tammy Duckworth will be the first US senator to give birth while in office, and she's fighting to change longs… https://t.co/Uljo219oJ6"
215,15,@CNN,Thu Mar 08 18:43:15 +0000 2018,0.0,1.0,0.0,0.0,@theashleygraham @Caitlyn_Jenner @CarmenYulinCruz @DVF @muzoonrakan1 @UNICEF @bobblanddesign @karunanundy… https://t.co/pSG5QNVNG6
216,16,@CNN,Thu Mar 08 18:39:49 +0000 2018,0.1,0.9,0.0,0.25,"Russian internet trolls created an anti-Hillary Clinton video game called ""Hilltendo"" and tried to make it go viral… https://t.co/afpc123s31"
217,17,@CNN,Thu Mar 08 18:32:00 +0000 2018,0.252,0.748,0.0,0.5719,McDonald's is celebrating #InternationalWomensDay by flipping its famous golden arches https://t.co/biYp1ZduyT https://t.co/H8MMkU7HOL
218,18,@CNN,Thu Mar 08 18:23:00 +0000 2018,0.0,0.909,0.091,-0.296,"When Laxmi was 15, a man she refused to marry threw acid in her face. But she recovered from her injuries and chang… https://t.co/ExD5GdcO80"
219,19,@CNN,Thu Mar 08 18:10:10 +0000 2018,0.0,0.824,0.176,-0.6705,A Missouri police officer killed this week in the line of duty met with gunfire only after he was dispatched to the… https://t.co/HYWoNIjHrz
220,20,@CNN,Thu Mar 08 17:47:25 +0000 2018,0.0,1.0,0.0,0.0,@theashleygraham @Caitlyn_Jenner @CarmenYulinCruz @DVF @muzoonrakan1 @UNICEF @bobblanddesign @karunanundy… https://t.co/37dwU8ZnGP
221,21,@CNN,Thu Mar 08 17:46:41 +0000 2018,0.0,1.0,0.0,0.0,@theashleygraham @Caitlyn_Jenner @CarmenYulinCruz @DVF @muzoonrakan1 @UNICEF @bobblanddesign @karunanundy… https://t.co/vFaGKx23rg
222,22,@CNN,Thu Mar 08 17:45:33 +0000 2018,0.0,1.0,0.0,0.0,@theashleygraham @Caitlyn_Jenner @CarmenYulinCruz @DVF @muzoonrakan1 @UNICEF @bobblanddesign @karunanundy… https://t.co/bo53G6XGgJ
223,23,@CNN,Thu Mar 08 17:44:43 +0000 2018,0.0,1.0,0.0,0.0,@theashleygraham @Caitlyn_Jenner @CarmenYulinCruz @DVF @muzoonrakan1 @UNICEF @bobblanddesign @karunanundy… https://t.co/hlNoEhDOxl
224,24,@CNN,Thu Mar 08 17:43:58 +0000 2018,0.0,1.0,0.0,0.0,@theashleygraham @Caitlyn_Jenner @CarmenYulinCruz @DVF @muzoonrakan1 @UNICEF @bobblanddesign @karunanundy… https://t.co/p3Ez30VMb7
225,25,@CNN,Thu Mar 08 17:43:11 +0000 2018,0.0,1.0,0.0,0.0,@theashleygraham @Caitlyn_Jenner @CarmenYulinCruz @DVF @muzoonrakan1 @UNICEF @bobblanddesign @karunanundy… https://t.co/4smfFqlPeG
226,26,@CNN,Thu Mar 08 17:42:02 +0000 2018,0.0,1.0,0.0,0.0,@theashleygraham @Caitlyn_Jenner @CarmenYulinCruz @DVF @muzoonrakan1 @UNICEF @bobblanddesign @karunanundy… https://t.co/sYFiiE2pot
227,27,@CNN,Thu Mar 08 17:40:53 +0000 2018,0.0,1.0,0.0,0.0,@theashleygraham @Caitlyn_Jenner @CarmenYulinCruz @DVF @muzoonrakan1 @UNICEF @bobblanddesign @karunanundy… https://t.co/ngx7uBQlVT
228,28,@CNN,Thu Mar 08 17:39:13 +0000 2018,0.0,1.0,0.0,0.0,@theashleygraham @Caitlyn_Jenner @CarmenYulinCruz @DVF @muzoonrakan1 @UNICEF @bobblanddesign @karunanundy… https://t.co/bFHQopTOk0
229,29,@CNN,Thu Mar 08 17:38:04 +0000 2018,0.0,1.0,0.0,0.0,@theashleygraham @Caitlyn_Jenner @CarmenYulinCruz @DVF @muzoonrakan1 @UNICEF @bobblanddesign @karunanundy… https://t.co/yvva0lx8mC
230,30,@CNN,Thu Mar 08 17:36:23 +0000 2018,0.0,1.0,0.0,0.0,@theashleygraham @Caitlyn_Jenner @CarmenYulinCruz @DVF @muzoonrakan1 @UNICEF @bobblanddesign @karunanundy… https://t.co/HNJtpRQzTC
231,31,@CNN,Thu Mar 08 17:35:29 +0000 2018,0.0,1.0,0.0,0.0,@theashleygraham @Caitlyn_Jenner @CarmenYulinCruz @DVF @muzoonrakan1 @UNICEF @bobblanddesign @karunanundy… https://t.co/YbtMLrEunr
232,32,@CNN,Thu Mar 08 17:34:23 +0000 2018,0.0,1.0,0.0,0.0,@theashleygraham @Caitlyn_Jenner @CarmenYulinCruz @DVF @muzoonrakan1 @UNICEF @bobblanddesign @karunanundy “We have… https://t.co/VQIOWE6xvQ
233,33,@CNN,Thu Mar 08 17:33:30 +0000 2018,0.161,0.839,0.0,0.3182,@theashleygraham @Caitlyn_Jenner @CarmenYulinCruz @DVF @muzoonrakan1 @UNICEF @bobblanddesign “I would make sure tha… https://t.co/g0lYhMLHaf
234,34,@CNN,Thu Mar 08 17:32:06 +0000 2018,0.0,1.0,0.0,0.0,"@theashleygraham @Caitlyn_Jenner @CarmenYulinCruz @DVF @muzoonrakan1 @UNICEF “Listen to women,” says… https://t.co/4rT0n5bAXU"
235,35,@CNN,Thu Mar 08 17:28:28 +0000 2018,0.202,0.798,0.0,0.3182,"@theashleygraham @Caitlyn_Jenner @CarmenYulinCruz @DVF To achieve gender equality, ""I want to convince everyone to… https://t.co/ZvQCrwCizl"
236,36,@CNN,Thu Mar 08 17:26:08 +0000 2018,0.0,1.0,0.0,0.0,"@theashleygraham @Caitlyn_Jenner @CarmenYulinCruz When you do a job application, you should not have to say your se… https://t.co/OYJEl6gGdt"
237,37,@CNN,Thu Mar 08 17:24:39 +0000 2018,0.244,0.756,0.0,0.6705,"@theashleygraham @Caitlyn_Jenner ""The one thing I would do to improve gender equality is to ensure that all of our… https://t.co/H3dJOKwSNc"
238,38,@CNN,Thu Mar 08 17:23:50 +0000 2018,0.0,1.0,0.0,0.0,@theashleygraham “Women are brought up to kind of be a second-class citizen” says @Caitlyn_Jenner #IWD2018… https://t.co/VlyKYFDRZ7
239,39,@CNN,Thu Mar 08 17:21:46 +0000 2018,0.299,0.701,0.0,0.7506,".@theashleygraham: “We need to ensure that women see themselves portrayed in media, fashion, beauty and beyond.”… https://t.co/NqM1Yvifbz"
240,40,@CNN,Thu Mar 08 17:17:13 +0000 2018,0.268,0.732,0.0,0.765,"To celebrate #IWD2018, @CNN asked women around the world, ""What single thing would you change to improve gender equ… https://t.co/aPUTYl3OAf"
241,41,@CNN,Thu Mar 08 17:05:47 +0000 2018,0.289,0.711,0.0,0.7096,"Trump on outgoing chief economic adviser Gary Cohn: “He’s been terrific. He may be a globalist, but I still like hi… https://t.co/jTAhyf8gU3"
242,42,@CNN,Thu Mar 08 16:50:01 +0000 2018,0.315,0.594,0.091,0.7096,"With America facing a massive nursing shortage, some hospitals are offering five-figure signing bonuses, free housi… https://t.co/qx9N6r3ugj"
243,43,@CNN,Thu Mar 08 16:35:00 +0000 2018,0.0,1.0,0.0,0.0,The US ambassador to Mexico was not invited to a meeting between senior White House adviser Jared Kushner and Mexic… https://t.co/r063UG1OyV
244,44,@CNN,Thu Mar 08 16:20:08 +0000 2018,0.0,0.714,0.286,-0.802,One person has been taken into police custody in connection with a shooting that killed one student and injured ano… https://t.co/2ZMe9iO27I
245,45,@CNN,Thu Mar 08 16:10:11 +0000 2018,0.0,0.578,0.422,-0.8074,The long history of blaming video games for mass violence https://t.co/LHKHJUgqRx https://t.co/kWT3kF1vby
246,46,@CNN,Thu Mar 08 15:59:06 +0000 2018,0.0,1.0,0.0,0.0,Meghan Markle has been baptized into the Church of England https://t.co/0HcgXUmkzm https://t.co/qoCSXwu3EZ
247,47,@CNN,Thu Mar 08 15:42:36 +0000 2018,0.0,1.0,0.0,0.0,Why companies are embracing #InternationalWomensDay https://t.co/WuS6CWYUM5 https://t.co/grZlom9kVF
248,48,@CNN,Thu Mar 08 15:29:32 +0000 2018,0.0,1.0,0.0,0.0,NASA spacecraft Juno has collected new data on its mission to Jupiter revealing some of the swirling inner mysterie… https://t.co/kM6mhbbBrv
249,49,@CNN,Thu Mar 08 15:05:55 +0000 2018,0.0,1.0,0.0,0.0,"""Somebody needs to stand up"" to California on immigration, Attorney General Jeff Sessions says… https://t.co/IN63gV1NOo"
250,50,@CNN,Thu Mar 08 14:57:50 +0000 2018,0.0,1.0,0.0,0.0,"RT @CNNweather: As people recover from back to back nor'easters, some forecast models hint at another storm early next week. 

Keep up-to-d…"
251,51,@CNN,Thu Mar 08 14:51:24 +0000 2018,0.0,0.833,0.167,-0.4215,Hundreds of doctors in Quebec are protesting. They say they make too much. https://t.co/w2GHFWjU4m https://t.co/bN4Ea3Pvds
252,52,@CNN,Thu Mar 08 14:40:11 +0000 2018,0.0,1.0,0.0,0.0,"""This is so manipulative."" That's how an anchor at a local TV station owned by Sinclair described the company's lat… https://t.co/d888lpEz8q"
253,53,@CNN,Thu Mar 08 14:24:59 +0000 2018,0.27,0.73,0.0,0.5719,McDonald's is celebrating #InternationalWomensDay by flipping its golden arches https://t.co/biYp1ZduyT https://t.co/oUoEjcizNf
